id,locale_de,RefModel,Command,Type,status_de,Comment
Standard_2713575,Übergeordnete Person,Standard,,caption,final,<NO_COMMENT>
Standard_2704126,Mengen,Standard,,caption,final,<NO_COMMENT>
Standard_2689928,Ferienadresse,Standard,,caption,final,<NO_COMMENT>
Standard_2684018,Land,Standard,,caption,final,<NO_COMMENT>
Standard_2759059,Land Bezeichnung,Standard,,caption,exported,<NO_COMMENT>
Standard_2695865,Unternehmen/GE,Standard,,caption,final,<NO_COMMENT>
Standard_2684571,Partner,Standard,,caption,final,<NO_COMMENT>
Standard_2732666,Segmenttyp auswählen,Standard,,title,final,<NO_COMMENT>
Standard_2713429,Untergeordnete Personen,Standard,,caption,final,<NO_COMMENT>
Standard_5504010,Anredecode,Standard,,title,final,<NO_COMMENT>
Standard_2690237,Zusatz PLZ,Standard,,caption,final,<NO_COMMENT>
Standard_2678996,Normal,Standard,,caption,final,<NO_COMMENT>
Standard_2713477,Kontakt Zusatz,Standard,,caption,final,<NO_COMMENT>
Standard_2692319,Provisionsmodell,Standard,,caption,final,<NO_COMMENT>
Standard_6958795,Person / Segment bearbeiten,Standard,,caption,final,Created by Wcl Migration
Standard_2692322,Anzahl Customizer,Standard,,caption,final,<NO_COMMENT>
Standard_2686044,Notiz,Standard,,caption,final,<NO_COMMENT>
Standard_2684790,Zweiter Vorname,Standard,,caption,final,<NO_COMMENT>
Standard_2722674,Allgemein,Standard,,caption,final,<NO_COMMENT>
Standard_2681155,Bereit Reorganisation,Standard,,caption,final,<NO_COMMENT>
Standard_2690447,Partnerschaftsart,Standard,,caption,final,<NO_COMMENT>
Standard_2701318,Postfach Ort,Standard,,caption,final,<NO_COMMENT>
Standard_2685088,Firmensegment,Standard,,caption,final,<NO_COMMENT>
Standard_2692323,Anzahl Projektleiter,Standard,,caption,final,<NO_COMMENT>
Standard_2722234,Zuordnung Geografiegruppe,Standard,,caption,final,<NO_COMMENT>
Standard_5502680,Kontokorrent Typ,Standard,,caption,exported,flag for currentaccount
Standard_2678829,Objektnummer,Standard,,caption,final,<NO_COMMENT>
Standard_2700825,Kontokorrent Gebinde,Standard,,caption,final,<NO_COMMENT>
Standard_6943951,test,Standard,,caption,final,Created by Biz Migration.
Standard_2688660,Einzelunternehmen,Standard,,caption,final,<NO_COMMENT>
Standard_6958217,Löschen,Standard,,caption,final,Created by Wcl Migration
Standard_2680605,PLZ / Ort / Land,Standard,,caption,final,<NO_COMMENT>
Standard_2688168,Zugeord. Person,Standard,,caption,final,<NO_COMMENT>
Standard_2759067,Adresse Text,Standard,,caption,exported,<NO_COMMENT>
Standard_5503445,Mandantenadresse,Standard,,title,final,<NO_COMMENT>
Standard_2689933,Standort,Standard,,caption,final,<NO_COMMENT>
Standard_2713666,Übergeordnete Personen,Standard,,caption,final,<NO_COMMENT>
Standard_2680613,Person,Standard,,caption,final,<NO_COMMENT>
Standard_2689972,Kurzzeichen,Standard,,caption,final,<NO_COMMENT>
Standard_2713583,Besuchsverwaltung,Standard,,caption,final,<NO_COMMENT>
Standard_2716791,Allgemein,Standard,,caption,final,<NO_COMMENT>
Standard_6701286,GLN,Standard,,caption,final,Global Location Number
Standard_2680518,Ort,Standard,,caption,final,<NO_COMMENT>
Standard_2710273,Anfragen,Standard,,caption,final,<NO_COMMENT>
Standard_2689967,Letzter Kontakt,Standard,,caption,final,<NO_COMMENT>
Standard_2695145,Anzahl Mitarbeiter,Standard,,caption,final,<NO_COMMENT>
Standard_5504009,Adressen-Zusatz,Standard,,title,final,<NO_COMMENT>
Standard_2684705,Detail,Standard,,caption,final,<NO_COMMENT>
Standard_2678828,Entitätsstruktur,Standard,,caption,final,<NO_COMMENT>
Standard_5503418,Geografiegruppe,Standard,,title,final,<NO_COMMENT>
Standard_6958216,Neu,Standard,,caption,final,Created by Wcl Migration
Standard_2685497,Betreff,Standard,,caption,final,<NO_COMMENT>
Standard_2694234,Abteilung,Standard,,caption,final,<NO_COMMENT>
Standard_2713451,Besuche,Standard,,caption,final,<NO_COMMENT>
Standard_2759030,Objekt Nummer Benützer,Standard,,caption,exported,<NO_COMMENT>
Standard_2679229,Typ,Standard,,caption,final,<NO_COMMENT>
Standard_2689964,Personentyp,Standard,,caption,final,<NO_COMMENT>
Standard_2679812,Aktivität,Standard,,caption,final,<NO_COMMENT>
Standard_2713571,Unternehmen Detail,Standard,,caption,final,<NO_COMMENT>
Standard_2678995,Verwendung,Standard,,caption,final,<NO_COMMENT>
Standard_2699185,Geschäftseinheit,Standard,,caption,final,<NO_COMMENT>
Standard_5579449,Suchbegriff Person,Standard,,caption,final,specify caption
Standard_2684502,E-Mail,Standard,,caption,final,eMail
Standard_2685128,Beziehung,Standard,,caption,final,<NO_COMMENT>
Standard_6958209,Anzeigen,Standard,,caption,final,Created by Wcl Migration
Standard_5564230,Von Jahr,Standard,,caption,final,<NO_COMMENT>
Standard_2689945,Opt. Bestimm. Ort,Standard,,caption,final,<NO_COMMENT>
Standard_I78BSG9OR88U93EKHUAHKGSCQ0,Neuaufbau Mischkonten-Hierarchie,Standard,,caption,final,Rebuild hierarchy for mix accounts
Standard_2716774,Auswahl Werbecode,Standard,,caption,final,<NO_COMMENT>
Standard_2759035,Organisationsfunktion Bezeichnung,Standard,,caption,exported,<NO_COMMENT>
Standard_6959111,Kunde dieser Person anzeigen,Standard,,caption,final,Created by Wcl Migration
Standard_5507511,Bitte wählen sie eine Person aus,Standard,,instruction,exported,The user must select a person for further processing
Standard_2678823,Nein,Standard,,caption,final,<NO_COMMENT>
Standard_2689943,Adresszeile 4,Standard,,caption,final,<NO_COMMENT>
Standard_5490656,Weitere Kriterien,Standard,,caption,final,Weitere Kriterien
Standard_2697081,Geburtsort,Standard,,caption,final,<NO_COMMENT>
Standard_2689966,Natürliche Person,Standard,,caption,final,<NO_COMMENT>
Standard_2722241,Zugeteiltes Land,Standard,,caption,final,<NO_COMMENT>
Standard_5482754,Webseite,Standard,,caption,exported,Webseite
Standard_2684604,Extern,Standard,,caption,final,<NO_COMMENT>
Standard_5507526,Lieferant erfasst,Standard,,caption,exported,Is address used for a supplier
Standard_2730565,PLZ,Standard,,caption,final,<NO_COMMENT>
Standard_2690951,Jahresumsatz / Ist,Standard,,caption,final,<NO_COMMENT>
Standard_2681154,Annulliert,Standard,,caption,final,<NO_COMMENT>
Standard_2759029,Objekt Nummer Person,Standard,,caption,exported,<NO_COMMENT>
Standard_2716776,Werbecode,Standard,,caption,final,<NO_COMMENT>
Standard_2713467,Segmente,Standard,,caption,final,<NO_COMMENT>
Standard_2693119,Gesamtfläche,Standard,,caption,final,<NO_COMMENT>
Standard_2694102,Logistik,Standard,,caption,final,<NO_COMMENT>
Standard_2719247,Telefon Mobile,Standard,,caption,final,<NO_COMMENT>
Standard_2759028,Mitgliednummer Person,Standard,,caption,exported,<NO_COMMENT>
Standard_2685087,Gemischtes Segment,Standard,,caption,final,<NO_COMMENT>
Standard_2689327,Zuordnung Ort/Bezirk,Standard,,caption,final,<NO_COMMENT>
Standard_5503947,Personenbeziehungskategorie,Standard,,title,final,<NO_COMMENT>
Standard_2730695,Hauptkommunikation,Standard,,caption,final,<NO_COMMENT>
Standard_2759038,Kommentar Fax Geschäft,Standard,,caption,exported,<NO_COMMENT>
Standard_2702993,Freier Text 1,Standard,,caption,final,<NO_COMMENT>
Standard_2718522,Partner-Detail,Standard,,caption,final,<NO_COMMENT>
Standard_2687074,Personen-Segment,Standard,,caption,final,<NO_COMMENT>
Standard_5578257,Kurzbez.,Standard,,caption,final,B17638
Standard_2692388,Gebäude,Standard,,caption,final,<NO_COMMENT>
Standard_2690952,Jahresumsatz / Soll,Standard,,caption,final,<NO_COMMENT>
Standard_2719248,Telefon Geschäft,Standard,,caption,final,<NO_COMMENT>
Standard_2695664,Mandantenadresse,Standard,,caption,final,<NO_COMMENT>
Standard_2689944,Adresszeile 5,Standard,,caption,final,<NO_COMMENT>
Standard_2759051,Adress-Nummer,Standard,,caption,exported,<NO_COMMENT>
Standard_2689334,Land/Sprachversion,Standard,,caption,final,<NO_COMMENT>
Standard_2685376,Klasse,Standard,,caption,final,<NO_COMMENT>
Standard_2701112,Betr. Kontakt,Standard,,caption,final,<NO_COMMENT>
Standard_2681055,Kontakt,Standard,,caption,final,<NO_COMMENT>
Standard_2713488,Mitarbeiter mit Adr.,Standard,,caption,final,<NO_COMMENT>
Standard_5503943,Personenfunktion,Standard,,title,final,<NO_COMMENT>
Standard_2685090,Werbecode,Standard,,caption,final,<NO_COMMENT>
Standard_2695868,Personen-Funktion,Standard,,caption,final,<NO_COMMENT>
Standard_6959063,Bearbeiten (optimierte Erfassung),Standard,,caption,final,Created by Wcl Migration
Standard_2678997,Für Hierarchie,Standard,,caption,final,<NO_COMMENT>
Standard_2679494,Allgemein,Standard,,caption,final,<NO_COMMENT>
Standard_2713445,Annulliert,Standard,,caption,final,<NO_COMMENT>
Standard_2680646,Land,Standard,,caption,final,<NO_COMMENT>
Standard_2686992,Einfach,Standard,,caption,final,<NO_COMMENT>
Standard_6958848,Anzeigen (optimierte Erfassung),Standard,,caption,final,Created by Wcl Migration
Standard_2702983,Adressen,Standard,,caption,final,<NO_COMMENT>
Standard_2692009,Kontokorrent,Standard,,caption,final,<NO_COMMENT>
Standard_2689974,Titel,Standard,,caption,final,<NO_COMMENT>
Standard_5507525,Kunde erfasst,Standard,,caption,exported,Is address used for a Customer
Standard_2705947,Feldbezeichnung,Standard,,caption,final,<NO_COMMENT>
Standard_2692421,In Evaluation,Standard,,caption,final,<NO_COMMENT>
Standard_2679634,Mandant,Standard,,caption,final,<NO_COMMENT>
Standard_6958647,Synchron. Kontakte Exchange,Standard,,caption,final,Created by Wcl Migration
Standard_2691063,Personen-Beziehung Typ,Standard,,caption,final,<NO_COMMENT>
Standard_2688167,Zugeordn. Person,Standard,,caption,final,<NO_COMMENT>
Standard_5730718,Knz Sender,Standard,,caption,final,KZ Sender
Standard_2688254,Filiale,Standard,,caption,final,<NO_COMMENT>
Standard_2682069,Suchbegriff,Standard,,caption,final,<NO_COMMENT>
Standard_5837317,Restriktion 3,Standard,,caption,exported,Restriktion 3
Standard_2711129,Hauptstatus,Standard,,caption,final,<NO_COMMENT>
Standard_6958207,Kopieren,Standard,,caption,final,Created by Wcl Migration
Standard_2693529,UDC Einkauf,Standard,,caption,final,<NO_COMMENT>
Standard_6959382,Lieferant dieser Person anzeigen,Standard,,caption,final,Created by Wcl Migration
Standard_5504015,Personenbeziehung,Standard,,title,final,<NO_COMMENT>
Standard_6964040,Definition Profildaten,Standard,,title,final,Profile Data Definition
Standard_2699001,Betr. Unterneh./GE,Standard,,caption,final,<NO_COMMENT>
Standard_2725871,Typ,Standard,,caption,final,<NO_COMMENT>
Standard_2685089,Kontaktsegment,Standard,,caption,final,<NO_COMMENT>
Standard_2679160,Aktiv,Standard,,caption,final,<NO_COMMENT>
Standard_5504188,Zuordnung Benutzer - Person,Standard,,title,final,<NO_COMMENT>
Standard_2727199,Meine Kontakte,Standard,,caption,final,<NO_COMMENT>
Standard_2690892,Lead,Standard,,caption,final,<NO_COMMENT>
Standard_6964000,Name überg. Segment,Standard,,caption,final,US12966
Standard_2702312,Unternehmen/GE,Standard,,caption,final,<NO_COMMENT>
Standard_2731615,Bearbeiten,Standard,,caption,final,<NO_COMMENT>
